datetime,batch,epoch,train_loss,val_loss
2023-10-31 15:18:31.274431,26,74,0.6414371728897095,0.532907110121515
2023-10-31 15:18:55.442607,26,75,0.5992081761360168,0.6247137586275736
2023-10-31 15:19:20.009960,26,76,0.6589136719703674,0.5120608533422152
2023-10-31 15:19:44.181084,26,77,0.5409402251243591,0.5191872972581122
2023-10-31 15:20:08.913005,26,78,0.7486686706542969,0.5002143271267414
2023-10-31 15:20:32.993221,26,79,0.9239985346794128,0.5151099620593919
2023-10-31 15:20:57.231824,26,80,0.461562842130661,0.5106752663850784
2023-10-31 15:21:21.356914,26,81,0.7508379220962524,0.49511800540818107
2023-10-31 15:21:45.523160,26,82,0.5841986536979675,0.5037498614854283
2023-10-31 15:22:09.734341,26,83,0.8721534609794617,0.4986526109278202
2023-10-31 15:22:33.913747,26,84,0.21271470189094543,0.49086811559067833
